Time(s),CH1(V),CH2(V),CH3(V)
-4.8760E-06,5.554512E-02,1.146247E+00,6.954060E-02
-4.8755E-06,6.017388E-02,1.241768E+00,6.954060E-02
-4.8750E-06,6.017388E-02,1.241768E+00,6.954060E-02
-4.8745E-06,6.017388E-02,1.241768E+00,7.881268E-02
-4.8740E-06,6.017388E-02,1.241768E+00,7.417664E-02
-4.8735E-06,6.017388E-02,1.241768E+00,7.417664E-02
-4.8730E-06,6.480264E-02,1.241768E+00,7.417664E-02
-4.8725E-06,6.480264E-02,1.241768E+00,7.417664E-02
-4.8720E-06,6.480264E-02,1.241768E+00,7.417664E-02
-4.8715E-06,6.017388E-02,1.241768E+00,7.417664E-02
-4.8710E-06,6.480264E-02,1.241768E+00,7.417664E-02
-4.8705E-06,6.943139E-02,1.241768E+00,7.417664E-02
-4.8700E-06,6.480264E-02,1.241768E+00,7.417664E-02
-4.8695E-06,6.480264E-02,1.146247E+00,7.417664E-02
-4.8690E-06,6.017388E-02,1.241768E+00,7.417664E-02
-4.8685E-06,6.480264E-02,1.241768E+00,7.417664E-02
-4.8680E-06,6.480264E-02,1.241768E+00,7.417664E-02
-4.8675E-06,6.480264E-02,1.146247E+00,7.881268E-02
-4.8670E-06,6.480264E-02,1.241768E+00,7.417664E-02
-4.8665E-06,6.480264E-02,1.337288E+00,7.417664E-02
-4.8660E-06,6.480264E-02,1.241768E+00,7.417664E-02
-4.8655E-06,6.480264E-02,1.241768E+00,7.417664E-02
-4.8650E-06,6.480264E-02,1.337288E+00,7.417664E-02
-4.8645E-06,6.017388E-02,1.337288E+00,7.417664E-02
-4.8640E-06,6.017388E-02,1.337288E+00,7.417664E-02
-4.8635E-06,6.017388E-02,1.337288E+00,6.954060E-02
-4.8630E-06,6.480264E-02,1.337288E+00,7.417664E-02
-4.8625E-06,6.480264E-02,1.337288E+00,7.417664E-02
-4.8620E-06,6.480264E-02,1.337288E+00,7.417664E-02
-4.8615E-06,6.017388E-02,1.432809E+00,7.881268E-02
-4.8610E-06,6.017388E-02,1.432809E+00,8.344872E-02
-4.8605E-06,6.480264E-02,1.337288E+00,8.344872E-02
-4.8600E-06,6.480264E-02,1.337288E+00,8.344872E-02
-4.8595E-06,6.480264E-02,1.432809E+00,7.881268E-02
-4.8590E-06,6.480264E-02,1.337288E+00,8.344872E-02
-4.8585E-06,6.480264E-02,1.432809E+00,8.344872E-02
-4.8580E-06,6.480264E-02,1.432809E+00,8.344872E-02
-4.8575E-06,6.480264E-02,1.337288E+00,8.344872E-02
-4.8570E-06,6.480264E-02,1.432809E+00,8.344872E-02
-4.8565E-06,6.480264E-02,1.432809E+00,8.344872E-02
-4.8560E-06,6.480264E-02,1.432809E+00,8.344872E-02
-4.8555E-06,6.480264E-02,1.432809E+00,7.881268E-02
-4.8550E-06,6.480264E-02,1.432809E+00,7.881268E-02
-4.8545E-06,6.943139E-02,1.432809E+00,7.881268E-02
-4.8540E-06,6.480264E-02,1.432809E+00,8.344872E-02
-4.8535E-06,6.480264E-02,1.432809E+00,8.808476E-02
-4.8530E-06,6.480264E-02,1.432809E+00,8.808476E-02
-4.8525E-06,6.943139E-02,1.337288E+00,8.808476E-02
-4.8520E-06,6.943139E-02,1.432809E+00,8.808476E-02
-4.8515E-06,6.943139E-02,1.528330E+00,8.808476E-02
-4.8510E-06,6.943139E-02,1.432809E+00,8.344872E-02
-4.8505E-06,6.943139E-02,1.432809E+00,8.344872E-02
-4.8500E-06,6.480264E-02,1.432809E+00,8.344872E-02
-4.8495E-06,6.943139E-02,1.432809E+00,8.344872E-02
-4.8490E-06,7.406016E-02,1.528330E+00,8.344872E-02
-4.8485E-06,7.406016E-02,1.528330E+00,8.344872E-02
-4.8480E-06,6.943139E-02,1.528330E+00,8.808476E-02
-4.8475E-06,7.406016E-02,1.528330E+00,8.344872E-02
-4.8470E-06,7.406016E-02,1.528330E+00,7.881268E-02
-4.8465E-06,6.943139E-02,1.528330E+00,8.344872E-02
-4.8460E-06,6.943139E-02,1.528330E+00,8.344872E-02
-4.8455E-06,7.406016E-02,1.528330E+00,8.344872E-02
-4.8450E-06,7.406016E-02,1.623850E+00,8.344872E-02
-4.8445E-06,7.406016E-02,1.623850E+00,8.344872E-02
-4.8440E-06,6.943139E-02,1.528330E+00,8.344872E-02
-4.8435E-06,6.943139E-02,1.528330E+00,8.344872E-02
-4.8430E-06,7.406016E-02,1.528330E+00,8.344872E-02
-4.8425E-06,7.868892E-02,1.528330E+00,8.344872E-02
-4.8420E-06,7.406016E-02,1.528330E+00,8.344872E-02
-4.8415E-06,6.943139E-02,1.623850E+00,8.808476E-02
-4.8410E-06,7.406016E-02,1.623850E+00,9.272080E-02
-4.8405E-06,7.406016E-02,1.528330E+00,9.272080E-02
-4.8400E-06,7.406016E-02,1.623850E+00,8.808476E-02
-4.8395E-06,6.943139E-02,1.623850E+00,8.344872E-02
-4.8390E-06,7.406016E-02,1.623850E+00,8.344872E-02
-4.8385E-06,7.868892E-02,1.623850E+00,8.344872E-02
-4.8380E-06,7.406016E-02,1.719371E+00,8.808476E-02
-4.8375E-06,6.943139E-02,1.623850E+00,8.344872E-02
-4.8370E-06,6.943139E-02,1.528330E+00,8.808476E-02
-4.8365E-06,6.943139E-02,1.528330E+00,8.808476E-02
-4.8360E-06,6.943139E-02,1.623850E+00,8.808476E-02
-4.8355E-06,6.943139E-02,1.623850E+00,9.272080E-02
-4.8350E-06,7.406016E-02,1.528330E+00,9.272080E-02
-4.8345E-06,7.406016E-02,1.623850E+00,8.808476E-02
-4.8340E-06,6.943139E-02,1.719371E+00,8.344872E-02
-4.8335E-06,6.943139E-02,1.719371E+00,8.344872E-02
-4.8330E-06,6.943139E-02,1.719371E+00,8.344872E-02
-4.8325E-06,6.943139E-02,1.623850E+00,8.808476E-02
-4.8320E-06,6.943139E-02,1.623850E+00,8.808476E-02
-4.8315E-06,6.943139E-02,1.719371E+00,8.808476E-02
-4.8310E-06,6.943139E-02,1.719371E+00,8.808476E-02
-4.8305E-06,7.406016E-02,1.623850E+00,8.808476E-02
-4.8300E-06,7.406016E-02,1.623850E+00,8.808476E-02
-4.8295E-06,7.406016E-02,1.719371E+00,9.272080E-02
-4.8290E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8285E-06,7.868892E-02,1.623850E+00,9.272080E-02
-4.8280E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8275E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8270E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8265E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8260E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8255E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8250E-06,8.331767E-02,1.719371E+00,9.272080E-02
-4.8245E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8240E-06,7.406016E-02,1.719371E+00,9.272080E-02
-4.8235E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8230E-06,8.331767E-02,1.719371E+00,8.808476E-02
-4.8225E-06,7.868892E-02,1.719371E+00,8.808476E-02
-4.8220E-06,8.331767E-02,1.719371E+00,9.272080E-02
-4.8215E-06,8.331767E-02,1.719371E+00,9.735684E-02
-4.8210E-06,7.868892E-02,1.719371E+00,9.735684E-02
-4.8205E-06,7.868892E-02,1.719371E+00,9.272080E-02
-4.8200E-06,7.868892E-02,1.814891E+00,9.272080E-02
-4.8195E-06,7.406016E-02,1.814891E+00,9.735684E-02
-4.8190E-06,7.868892E-02,1.814891E+00,9.735684E-02
